id,project,status,target_completion_date,highway_transit_line,estimated_total_budget,latitude,longitude,category,supporting_ministry,community,description,result,area,region,address,postal_code,municipal_funding,provincial_funding,federal_funding,other_funding,website
1283,Monitoring Equipment Upgrades at Water Distribution/Generator Building,Complete,2020-02-01,,8625,47.676417,-81.716797,Communities,Infrastructure,Sudbury,"Install an emergency back up generator that can maintain the amount of electricity required to operate all pumps, including electronic monitoring equipment.",,Sudbury,Northeast,25 Barnes Street,P0M 1W,Yes,Yes,Yes,,
1284,System-Wide Main Water Valves Rehabilitation and Replacement,Complete,2018-12-01,,22500,47.676482,-81.718582,Communities,Infrastructure,Sudbury,Rehabilitate and replace approximately 55 main valves.,,Sudbury,Northeast,15 Low Avenue,P0M 1W,Yes,Yes,Yes,,
1285,Wastewater Lagoon Cells Clean Up,Complete,2018-12-01,,7500,47.67449,-81.723429,Communities,Infrastructure,Sudbury,Remove vegetation and overgrowth in the wastewater lagoon cells to ensure proper continued function of cells.,Extended live span of the equipment.,Sudbury,Northeast,,,Yes,Yes,Yes,,
1286,Water Infrastructure Rehabilitation,Complete,2019-10-01,,894096,47.675096,-81.723429,Communities,Infrastructure,Sudbury,"Replacement of the water and wastewater infrastructure, as well as the reconstruction of impacted street surfaces in northeast Gogama.",Safer drinking water,Sudbury,Northeast,,P0M 1W0,Yes,Yes,,,
1287,Storm Sewer Improvement,Complete,2018-06-01,,134691,45.837792,-79.063642,Communities,Infrastructure,Sundridge,Upgrade approximately 350 m. of rural road to a semi-urban cross section including swaled curbs and storm sewers.,,Parry Sound,Northeast,110 Main St.,P0A 1Z0,Yes,Yes,Yes,,
1288,Tay Water Distribution System construction,Complete,2018-10-01,,1483335,44.74766,-79.762221,Communities,Infrastructure,Tay,"Construction of a new, permanent, year-round water distribution system for the communities of Grandview Beach and Paradise Point in Port McNicoll.",Safer drinking water,Simcoe,Central,various streets,L0K 2A0,Yes,Yes,,,
1289,"Replacement of Watermains on Simcoe, Assiniboia and Alberta Street.",Complete,2018-12-01,,669888,44.748,-79.8166,Communities,Infrastructure,Tay,"Replace 1400 meters of watermain on Simcoe, Alberta and Assiniboia Street. This project will include improving Simcoe Avenue and Assiniboia Street from a rural cross section with ditches to an urban standard with curb and storm sewer.",,Simcoe,Central,,,Yes,Yes,Yes,Yes,
1290,Municipal Water Services  for Grandview Beach and Paradise Point,Complete,2018-06-01,,221679,44.7661,-79.8188,Communities,Infrastructure,Tay,Conduct detailed designs and studies component to replace the seasonal system with full municipal year round water services for Grandview Beach and Paradise Point . .,"Provided safe reliable drinking water to 297 households, 2 businesses and 81 vacant lots.",Simcoe,Central,,,Yes,Yes,Yes,,
1291,Repairs and Upgrades to Pumphouse.,Complete,2020-08-01,,1500,49.003946,-80.833896,Communities,Infrastructure,Taykwa Tagamou Nation,Repair fence around pumphouse generator and provide additional space heater for pumphouse.,Improved protection to receiving environment by improving wastewater management.,,Northeast,,,,Yes,Yes,Yes,
1292,Sanitary Sewer Collection System Rehabilitation Project,Complete,2020-03-01,,1678368,42.3261,-82.8941,Communities,Infrastructure,Tecumseh,"Renew and rehabilitate  approximately 30,000 linear meters of sanitary sewer pipe, 500 manholes and the rehabilitation of approximately 500 sanitary sewer service connections.",,Essex,Southwest,,,Yes,Yes,Yes,,
1293,Tecumseh Sanitary Sewer Collection System Rehabilitation,Complete,2018-12-01,,806149,42.3262,-82.8941,Communities,Infrastructure,Tecumseh,Rehabilitatation of the the sanitary sewer collection system.,Minimized risk of contamination,Essex,Southwest,Various streets,N8N 1W9,Yes,Yes,,,
1294,Supervisory Control and Data Acquisition (SCADA) System Purchase and Installation,Complete,2017-12-01,,75912,45.55826518,-82.01106836,Communities,Infrastructure,Tehkummah,Upgrades to the water plant's control system.,,Manitoulin,Northeast,41 Water Street,,Yes,Yes,Yes,,
1295,Upgrades at the Temagami South Water Treatment Plant,Complete,2018-12-01,,68470,47.064496,-79.790938,Communities,Infrastructure,Temagami,"Install a new generator, ultrasonic level measurement, and auto-valves.",Improved reliability of water treatment.,Nipissing,Northeast,39 Lakeshore Drive,,Yes,Yes,Yes,,
1296,Refurbishment and Upgrades at the Temagami North Water Treatment Plant,Complete,2018-12-01,,23880,47.064496,-79.790938,Communities,Infrastructure,Temagami,"Install ultrasonic level measurement, refurbish 15 auto-valves.",Improved reliability of water treatment.,Nipissing,Northeast,5 Cedar Avenue South,,Yes,Yes,Yes,,
1297,Lagoon Cleanout and De-sludge,Complete,2019-10-01,,44959,47.064496,-79.790938,Communities,Infrastructure,Temagami,Conduct a large scale clean out to remove built up sludge material Temagami South lagoon by .,Extended asset life.,Nipissing,Northeast,22 Jack Guppy Way,,Yes,Yes,Yes,,
1298,Water and Sewer Servicing,Complete,2019-07-01,,26250,46.980668,-80.068974,Communities,Infrastructure,Temagami,Install water and sewage servicing lines to connect future Band Office and Elder's Place.,,Nipissing,Northeast,,P0H 1C0,,Yes,Yes,Yes,
1299,Upgrades at Sewage Lift Station,Complete,2018-12-01,,10125,46.973793,-80.07008,Communities,Infrastructure,Temagami,Purchase a spare grinder pump.,Minimized risk of sewage spills.,Nipissing,Northeast,,,,Yes,Yes,Yes,
1300,Upgrades at Water Treatment Plant,Complete,2018-12-01,,2250,46.97403,-80.075998,Communities,Infrastructure,Temagami,Purchase spare high lift pump to ensure continued water service in case of pump failure.,Enxure continued clean water.,Nipissing,Northeast,,,,Yes,Yes,Yes,
1301,Upgrades at Sewer Lagoon,Complete,2020-03-01,,24750,46.980494,-80.075998,Communities,Infrastructure,Temagami,"Install an operator building / laboratory at lagoon to aid in operator daily duties, and purchase flow mete",Improved protection to the receiving environment.,Nipissing,Northeast,,,,Yes,Yes,Yes,
1302,Stormwater Improvements,Complete,2019-09-01,,16164,46.980494,-80.063993,Communities,Infrastructure,Temagami,"Repair, replace and improve ditching, culverts and stormwater drainage around sewage lagoon to prevent inflow of stormwater into lagoon, and at various points throughout the community.",Improved protection to receiving environment by improving sediment control.,Nipissing,Northeast,,,,Yes,Yes,Yes,
1303,Replacement of Existing Iron Removal Filters at the McCamus Avenue Water Treatment Plant.,Complete,2018-06-01,,516423,47.506981,-79.683912,Communities,Infrastructure,Temiskaming Shores,Replace two existing pressurized iron removal filters (in parallel configuration) at the McCamus Avenue Water Treatment Plant.,,Timiskaming,Northeast,295 McCamus Avenue,P0J 1P0,Yes,Yes,Yes,,
1304,Replacement of Lakeview Dr. and Kenogami Rd. Sanitary Sewage Outfall,Complete,2019-11-01,,249152,48.782077,-87.104102,Communities,Infrastructure,Terrace Bay,Replace approximately 840 meters of sanitary outfall pipe and associated manhole structures and construct an access road to provide access for future maintenance and repairs.,,Thunder Bay,Northwest,,,Yes,Yes,Yes,Yes,
1305,Kenogami Road Reconstruction,Complete,2018-12-01,,1805307,48.781813,-87.09833,Communities,Infrastructure,Terrace Bay,"Replace the Kenogami Road watermain, sorm and sanitary sewers.",Safer drinking water,Thunder Bay,Northwest,Highway 17 & Kenogami Road,P0T 2W0,Yes,Yes,,,
1306,Kenogami Road Reconstruction Phase II,Complete,2022-10-01,,0,48.78087,-87.0982,Communities,Infrastructure,Terrace Bay,"The project will replace watermains, sanitary sewers and storm sewers in Terrace Bay. The work will replace approximately 275 metres of watermain with appurtenances, approximately 260 metres of sanitary sewers and approximately 256 metres of expanded diameter storm sewers. Manholes, catch basins and catch basin leads will also be installed while the disrupted asphalt road, subbase, concrete curbs and sidewalks will be restored",Better environmental protection in the community.,Thunder Bay,Northwest,1 Selkirk Avenue,P0T2W0,Yes,Yes,Yes,,
1307,Dorchester Wastewater Treatment Plant Expansion,Complete,2018-08-01,,180000,42.974528,-81.031533,Communities,Infrastructure,Thames Centre,"Increase the plant capacity at the Dorchester Wastewater Treatment Plant from 520 to 1,200 cubic meters.",Greater ability to meet the demand for growing residential and industrial needs.,Middlesex,Southwest,4835 Hamilton Rd,N0L 1G3,Yes,Yes,Yes,,
1308,High Lift Pump Upgrades,Complete,2022-09-01,,75000,42.973241,-81.04843,Communities,Infrastructure,Thames Centre,Upgrade the high-lift pump at the Dorchester Water Treatment Plant.,Enhanced operations and easier maintenance of the system.,Middlesex,Southwest,2620 Dorchester Road,N0L 1G5,Yes,Yes,Yes,,
1309,Water Storage Mixer,Complete,2023-09-01,,49800,42.973241,-81.04843,Communities,Infrastructure,Thames Centre,Install water storage reservoir mixers  in 3 water storage reservoirs in Dorchester.,Greater disinfection control of the water.,Middlesex,Southwest,2620 Dorchester Road,N0L 1G5,Yes,Yes,Yes,,
1310,Clarksburg Water and Wastewater Concept Design,Complete,2020-05-01,,242114,44.545882,-80.461631,Communities,Infrastructure,The Blue Mountains,Conduct an environmental assessment to provide water and waste water servicing for the community of Clarksburg.,Identify  a  long-term solution to provide water and waste water servicing for the community of Clarksburg.,Grey,Southwest,,,Yes,Yes,Yes,,
1311,Craigleith Wastewater Treatment Plant Ultraviolet (UV) Replacement,Complete,2018-05-01,,303488,44.526888,-80.293131,Communities,Infrastructure,The Blue Mountains,Replace the existing ultraviolet unit that has reached the end of its useful life at the Craigleith wastewater treatment plant  with current technology.,,Grey,Southwest,,,Yes,Yes,Yes,,
1312,Thornbury Wastewater Treatment Plant Ultraviolet (UV) Replacement,Complete,2018-05-01,,293780,44.554941,-80.441845,Communities,Infrastructure,The Blue Mountains,Replace the existing ultraviolet unit that has reached the end of its useful life at the Thornbury wastewater treatment plant with current technology.,,Grey,Southwest,,,Yes,Yes,Yes,,
1313,Thornbury Water Plant Roof Replacement,Complete,2018-05-01,,120000,44.569216,-80.458423,Communities,Infrastructure,The Blue Mountains,Replace the roof of the Thornbury wastewater treatment plant.,,Grey,Southwest,,,Yes,Yes,Yes,,
1314,"Thornbury Wastewater Treatment Plant Roof and Heating, Ventilation and Air Conditioning (HVAC) Replacement",Complete,2018-05-01,,150000,44.554941,-80.441845,Communities,Infrastructure,The Blue Mountains,"Replace the roof of the administration building, inlet building and the ultraviolet irradiation building as well as replace the administration building's heating, ventilation and air conditioning unit that has reached the end of its useful life.",,Grey,Southwest,,,Yes,Yes,Yes,,
1315,Moore Crescent Sewage Pumping Station Renovations,Complete,2018-11-01,,135000,44.556404,-80.453902,Communities,Infrastructure,The Blue Mountains,Upgrade the existing incoming master control center panels as well as replacement of the existing 20kW diesel generator and electric heater that have reached the end of their useful lives.,,Grey,Southwest,,,Yes,Yes,Yes,,
1316,Elgin Street North Sewage Pumping Station Renovations,Complete,2018-11-01,,98711,44.560969,-80.443648,Communities,Infrastructure,The Blue Mountains,Upgrade the existing incoming master control center panels as well as replacement of the existing 20kW diesel generator and electric heater that have reached the end of their useful lives.,,Grey,Southwest,,,Yes,Yes,Yes,,
1317,New Water Reservoir,Complete,2019-03-01,,645753,45.34609,-75.261284,Communities,Infrastructure,The Nation,Build a secondary water reservoir and associated site piping at the Limoges water treatment plant.,,Prescott and Russell,East,269 Limoges Rd,,Yes,Yes,Yes,,
1318,Serpent River Landfill Site,Under construction,2023-01-01,,584250,46.217499,-82.517139,Communities,Infrastructure,The North Shore,Expansion of the Serpent River landfill site.,Diverting recyclable waste,Algoma,Northeast,5931 Hwy 17,P0P 1V0,Yes,Yes,Yes,,
1319,Replacement of Pronto East Drinking Water Treatment Process Equipment,Complete,2018-12-01,,324121,46.194677,-82.725726,Communities,Infrastructure,The North Shore,Replacement of the Pronto East drinking water treatment process equipment.,Safer drinking water,Algoma,Northeast,,P0R 1A0,Yes,Yes,,,
1320,Main Street and Mill Lane Storm Sewer Installation,Complete,2019-09-01,,75000,46.253494,-83.557782,Communities,Infrastructure,Thessalon,Install 175 meters of pipes to allow for proper draining in this area of town.,Improved water service to 30 households.,Algoma,Northeast,,,Yes,Yes,Yes,,
1321,River Street Storm Sewer Rehabilitation,Complete,2018-12-01,,90000,46.262955,-83.55164,Communities,Infrastructure,Thessalon,Replace multiple deteriorated corrugated steel storm sewers on River Street with high density polyethylene pipes.,"Extend the longevity of the road, water lines, wastewater lines and storm sewer systems assets in this area of Town.",Algoma,Northeast,,,Yes,Yes,Yes,,
1322,"Hydraulic Analysis, Geotechnical Assessment and Environmental Assessment for a Water Storage Facility",Complete,2019-12-01,,67109,46.261462,-83.550617,Communities,Infrastructure,Thessalon,Conduct a feasibility study for a water storage facility.,,Algoma,Northeast,,,Yes,Yes,Yes,,
1323,Frances Street Watermain Reconstruction,Complete,2019-11-01,,1294941,46.257215,-83.562079,Communities,Infrastructure,Thessalon,Reconstruction of watermain along Frances Street.,Safer drinking water,Algoma,Northeast,,P0R 1L0,Yes,Yes,,,
1324,Install a Backup Generator for the Water Treatment Facility,Complete,2017-09-01,,9188,46.182346,-82.901442,Communities,Infrastructure,Thessalon First Nation,Install a  backup generator.,Prevented untreated wastewater from entering the environment and negatively impacting surrounding communities.,Algoma,Northeast,164 B Biish Rd,P0R 1B,,Yes,Yes,Yes,
